host=winhelp2002.mvps.org, protocol=https, dl_speed=719534, sc_avg_speed=719534, mc_avg_speed=0, last_updated=1781363866, counter=1, status=OK
host=www.botvrij.eu, protocol=https, dl_speed=1192111, sc_avg_speed=7672638, mc_avg_speed=0, last_updated=1781363859, counter=0, status=OK
host=www.coi.cz, protocol=https, dl_speed=202690, sc_avg_speed=202690, mc_avg_speed=0, last_updated=1781363860, counter=1, status=OK
host=www.dan.me.uk, protocol=https, dl_speed=409733, sc_avg_speed=409733, mc_avg_speed=0, last_updated=1781364458, counter=1, status=OK
host=www.github.developerdan.com, protocol=https, dl_speed=24618225, sc_avg_speed=25672808, mc_avg_speed=0, last_updated=1781363862, counter=3, status=OK
host=www.snort.org, protocol=https, dl_speed=1109000, sc_avg_speed=1109000, mc_avg_speed=0, last_updated=1781363864, counter=1, status=OK
host=www.spamhaus.org, protocol=https, dl_speed=853600, sc_avg_speed=853600, mc_avg_speed=0, last_updated=1781363864, counter=1, status=OK
host=www.stopforumspam.com, protocol=https, dl_speed=8668530, sc_avg_speed=8668530, mc_avg_speed=0, last_updated=1781363864, counter=1, status=OK
host=www.team-cymru.org, protocol=https, dl_speed=17150690, sc_avg_speed=10512803, mc_avg_speed=0, last_updated=1781364458, counter=2, status=OK
host=zitstif.com, protocol=http, dl_speed=4816989, sc_avg_speed=1742085, mc_avg_speed=2408494, last_updated=1781363869, counter=2, status=OK
host=zitstif.no-ip.org, protocol=http, dl_speed=2649034, sc_avg_speed=0, mc_avg_speed=2649034, last_updated=1781363869, counter=1, status=OK
